idx,domain,type,target_numcount,question,target_answer,r1_ox,r1_numcov_pct,r1_has_cite_marker,r1_has_support_word,r1_abstain,r1_answer_len,r1_answer_numcount,r2_ox,r2_numcov_pct,r2_has_cite_marker,r2_has_support_word,r2_abstain,r2_answer_len,r2_answer_numcount,r3_ox,r3_numcov_pct,r3_has_cite_marker,r3_has_support_word,r3_abstain,r3_answer_len,r3_answer_numcount,r4_ox,r4_numcov_pct,r4_has_cite_marker,r4_has_support_word,r4_abstain,r4_answer_len,r4_answer_numcount
10,finance,table,1,金融機関および暗号資産交換業者において、マネーロンダリングのリスクの理解向上とリスク評価の実施が求められているが、どのような対応を行う必要があるか。また、対応期限と、担当する担当府庁についても教えてください。,金融機関等のリスク理解向上とリスク評価として、令和 4 年秋までに、マネロン・テロ資金供与対策に関する監督ガイドラインを更新・策定するとともに、マネロン・テロ資金供与・拡散金融対策に係る義務の周知徹底を図ることで、金融機関等のリスク理解を向上させ、適切なリスク評価を実施させる。本施策については、金融庁、その他金融機関監督官庁が担当する。,O,100.0,0,0,0,186,1,O,100.0,0,0,0,207,1,O,100.0,0,0,0,256,3,O,100.0,0,0,0,239,3
11,finance,table,3,特定非金融業者及び職業専門家がマネーロンダリングやテロ資金供与を防止するために、どのような対応が求められるか。具体的な対応内容について説明してください。,(1)監督ガイドライン策定・リスクベースの監督強化、および、(2)特定非金融業者及び職業専門家に対するリスク評価・顧客管理強化等が求められます。(1)監督ガイドライン策定・リスクベースの監督強化では、マネロン・テロ資金供与対策に関する監督ガイドラインを更新・策定するとともに、適切な監督態勢を整備するほか、リスクベースでの検査監督を強化します。(2)特定非金融業者及び職業専門家に対するリスク評価・顧客管理強化等においては、マネロン・テロ資金供与対策義務に関する周知徹底を図り、リスク理解を向上させる。この他、マネロン・テロ資金供与対策の強化の一環として、継続的顧客管理及び厳格な顧客管理措置、疑わしい取引の届出の質の向上に取り組むことが求められます。それぞれ、警察庁、特定非金融業者及び職業専門家所管行政庁が担当し、令和 4 年秋 までに実施予定です。,O,100.0,0,0,0,926,7,X,0.0,0,0,0,793,0,O,100.0,0,0,0,362,5,O,100.0,0,0,0,515,7
12,finance,table,1,信用購入あっせん業者の登録拒否事由に該当する期間として、登録取消しの日から何年間が経過していない場合、登録が拒否されますか？,5年間経過していない場合、登録が拒否されます。,O,100.0,0,0,0,50,1,O,100.0,0,0,0,51,1,O,100.0,0,0,0,48,1,O,100.0,0,0,0,48,1
13,finance,table,1,過剰与信防止義務が適用されないケースとして、個別信用購入あっせんでは、どのようなケースが該当しますか？具体的なケースを挙げてください。,"個別信用あっせんでは、次に該当する場合は過剰与信防止義務は適用されません。

＜少額店頭販売品＞
店頭販売等であって、比較的少額（10万円以下）の生活に必要な耐久消費財（例：家電、携帯電話）

＜高額生活必需耐久消費財等＞
比較的高額であっても、生活に必要とされる耐久消費財（例：自動車）

＜教育・自動車教習所＞
ただし、特定継続的役務提供契約は含まれない。

＜車検＞
道路運送車両法に規定する点検・継続検査

＜緊急的支出＞
利用者又は生計を一にする者の生命・身体を保護するため緊急に必要とされる商品・役務（例：緊急医療費、介護用品）",O,100.0,0,0,0,1116,3,O,100.0,0,0,0,892,3,O,100.0,0,0,0,345,7,O,100.0,0,0,0,375,3
14,finance,paragraph,0,金融機関によるベンチャー投資について、国の方向性を教えてください。,ベンチャー企業の将来キャッシュフロー等に着目した融資であるベンチャーデットについては、レイターステージのベンチャー企業を更に成長させ、機関投資家も参入可能な大型 IPO につなげる等の観点からも重要だと捉えています。そのため、金融機関の審査実務に新たな審査目線等を構築する取組を促進、支援するほか、成長に時間を要するスタートアップを念頭に、銀行グループが出資可能なスタートアップの範囲を拡充するための要件緩和を進める方針です。,O,,0,1,0,1084,10,O,,0,1,0,1150,16,O,,0,0,0,1216,8,O,,0,0,0,479,4
15,finance,paragraph,2,日本における2022年の海外大手暗号資産交換所の破綻の影響について、国内制度はどのように寄与したか。また、その経験を受けて金融庁は国際的対応や国内利用者の保護策をどのように強化する予定か？,日本における2022年11月の海外大手暗号資産交換所の破綻に際し、日本法人の利用者財産は早期に返還がなされるなど、国内の制度・モニタリングが有効に機能しました。その経験を活かし、金融庁は暗号資産に関連する国際的な政策対応に貢献するとともに、国境を越えた暗号資産取引に対応するため各国当局との連携強化を図ります。また、国内においては、更なる利用者保護の確保に向けてモニタリング上の着眼点の見直しを行います。,O,100.0,0,0,0,598,4,O,100.0,0,1,0,1091,8,O,100.0,0,0,0,328,4,O,100.0,0,0,0,409,5
16,finance,paragraph,0,主要行が市場・流動性リスク管理態勢を高度化する上で、資産と負債の総合管理や有価証券運用に関してどのような対応が求められるか？,主要行等が市場・流動性リスク管理態勢を高度化する上では、資産と負債の総合管理、有価証券運用、外貨流動性に関するリスク管理態勢の高度化が求められます。特に、運用・調達方針を確認し、詳細なリスク分析を通じて、資産と負債のバランスを適切に管理することが重要です。ネット専業銀行等についても同様に、流動性リスク管理態勢のモニタリングが必要です。,O,,0,0,0,794,5,O,,0,0,0,464,5,O,,0,0,0,160,0,O,,0,0,0,184,2
17,finance,paragraph,0,気候変動が住宅ローン・ポートフォリオに与える長期的な影響評価において、リテール向けエクスポージャーの評価が抱える課題とその背景について詳しく説明してください。,リテール向けエクスポージャーの評価には、いくつかの課題があります。まず、気候変動の影響を長期にわたって評価する必要があるため、リスク要因が相互に影響し合う波及効果を十分に考慮する必要があります。しかし、この波及効果を詳細に解析する方法はまだ発展途上です。特に、居住用不動産向け貸出、つまり住宅ローンは個々の貸出債権が少額であり、複数の債権を束ねたプール管理による評価が主流です。プール管理では、大数の法則を利用してデフォルト率や損失率をコントロールしやすくする一方で、個別の債権のリスク特性を詳細に評価することが難しいため、簡易的な影響度評価にとどまりがちです。この背景には、個々の債権の金額が小さく、個別管理が採算に合わないため、プール管理が採用されているという点もあります。,O,,0,1,0,1140,7,O,,0,1,0,1229,6,O,,0,0,0,1180,7,O,,0,0,0,1068,4
18,finance,image,0,洪水ハザードマップを基にした保険料細分化は消費者の理解を得やすいとされていますが、細分化により地域ごとにリスク較差が生じる場合、そのリスク較差を考慮した上で高リスク地域の住民が保険に加入しやすい料率体系をどのように設計すべきか、具体的な配慮点を述べなさい。,高リスク地域の住民が保険に加入しやすい料率体系を設計するためには、以下の具体的な配慮点が考えられます。まず、高リスクとなる地域の住民に対しては、リスクに見合った保険料率を適用しつつも、過度な負担を避けるために一定の補助や割引制度を設けることが重要です。さらに、保険会社は最新のリスク情報を収集し、リスクアナウンスメント効果を高めることで、高リスク地域の住民が自らのリスクを認識し、対策を講じやすくする必要があります。最後に、保険募集時に保険料の設定理由やリスクについて丁寧に説明することで、消費者の理解と納得感を得る努力も求められます。,O,,0,1,0,1087,9,O,,0,0,0,1146,26,O,,0,0,0,508,4,O,,0,0,0,487,4
19,finance,paragraph,0,住宅ローンの期中管理において、ハザードマップのリスク度が住宅価格に与える影響とその反映の仕組みについて詳しく述べ、その際に利便性や需給のバランスがどのように関与するのかを説明してください。,住宅ローンの期中管理では、担保価値の再評価を通じて気候関連リスクが反映されます。例えば、自然災害による地域の河川氾濫が住宅価格の下落を招くことで、そのリスクが資産価値の変動として取り込まれます。また、ハザードマップのリスク度の見直しにより、その地域の住宅価格が変動し、結果的に気候関連リスクが反映されることが考えられます。ただし、住宅価格は利便性や需給のバランスなど多くの要因で決定されるため、ハザードマップのリスク度が高いことだけでは一概に価格が決まるわけではありません。,O,,0,0,0,1373,6,O,,0,0,0,1773,7,O,,0,0,0,746,3,O,,0,0,0,555,0
20,finance,image,0,地震保険制度における再保険の仕組みと、政府と損害保険会社間でのリスク共有方法について詳しく説明してください。,地震保険は日本において政府と損害保険会社が共同で運営しています。具体的には、損害保険会社が契約者から保険料を受け取り、地震による損害が発生した場合には保険金を支払います。しかし、地震という非常に大規模な損害リスクに対する対応が必要となるため、損害保険会社だけではこのリスクを完全に負うことが難しいです。そこで政府が再保険の役割を果たします。再保険とは、損害保険会社が引き受けたリスクの一部または全部をさらに他の保険会社（この場合、政府）に移転する仕組みです。こうして最終的なリスクは政府が負担することになり、非常に大規模な地震被害が発生した際にも保険金の支払いが確実に行われるようにしています。これにより、リスクは国全体で共有される形になります。,O,,0,0,0,720,3,O,,0,0,0,938,9,O,,0,1,0,548,4,O,,0,1,0,443,4
21,finance,paragraph,0,気候関連リスクが顕現化した場合、住宅価格が下落による影響の伝播の経路について詳しく説明してください。,"気候関連リスクが顕現化することで、河川氾濫等を受けて住宅価格が減少します。
住宅価格の減少は、担保価値の減少に至り LGD を上昇させ、LGD の上昇は、万が一、デフォルトが発生した際の回収金額の減少を意味するため、住宅ローン・ポートフォリオの採算を悪化させます。
また、住宅価格の下落は、住宅を少しでも高値で売ろうとする動機付けとなり、早期の住宅売却を促します。住宅売却により住宅ローンの早期返済に至り、EAD が減少すると、金利収入の減少となり、住宅ローン・ポートフォリオの採算を悪化させることになります。
住宅価格の減少は、住宅という資産の価値が目減りするため、借手（債務者）の資産残高を減少させることにも繋がり、資産残高の減少は、返済余力を低下させるため、PD の上昇を引き起こします。PD の上昇は、信用コストを上昇させるため、採算の悪化に繋がります。
もっとも、住宅価格の減少は、貯蓄等の直接返済に使用する現金資産の減少ではないため、PD への影響は小さいと想定されます。ただし、借手（債務者）の資産残高の減少は、返済余力の低下から住宅の早期売却を惹起するため、EAD の減少に繋がり、EAD の減少は、金利収入の減少となり、住宅ローン・ポートフォリオの採算を悪化させることになります。",O,,0,0,0,1141,7,O,,0,1,0,909,17,O,,0,0,0,1033,13,O,,0,0,0,811,9
22,finance,table,0,自己資本比率に与える影響について、LGDが上昇した場合とEADが減少した場合について、それぞれ標準的手法と内部格付手法をもとに説明してください。,"LGD の上昇（住宅価格の下落）により、標準的手法はと内部格付手法の両方において自己資本比率は低下します。標準的手法の場合、LTV を通じて RW が上昇しRWA が増加することが要因として挙げられ、内部格付手法の場合はRW が上昇し、RWA が増加するためです。
EADの減少は、標準的手法と内部格付手法の両方において、RWAが減少するため自己資本比率が上昇すると考えられます。",O,,0,1,0,682,4,O,,0,1,0,1096,6,O,,0,0,0,359,6,O,,0,0,0,410,6
23,finance,paragraph,2,住宅ローンの PD を推計する主な手法と、その手法の特徴について教えてください。,住宅ローンの PD を推計する方法は多数あり、大別すると、（1）実績デフォルト率に基づく推計、（2）数理モデルによる推計が挙げられる。（1）は、プール単位の実績デフォルト率を時系列方向で平均した値をベースに、保守的調整幅等を加味して推計する方法です。（1）は、実務的に、広く採用され、実績のある手法であるため、多くの金融機関で高い再現性を持って、実現できる手法です。（2）は、主に、住宅ローンの採り上げ時に使用されるスコアリングモデルであり、住宅ローンを借り入れる者の属性（収入、LTV 等）を説明変数として、PD を推計する方法となっています。,O,100.0,0,0,0,556,4,O,100.0,0,0,0,517,3,O,100.0,0,0,0,481,3,O,100.0,0,0,0,482,3
24,finance,table,0,PTIとLTVがどちらも増加したが、CHが良好である場合、デフォルト確率への影響について説明してください。,PTIとLTVの増加はどちらもデフォルト確率の上昇要因となります。一方、CHが良好である場合はリスク度は低下しますので、それらの度合いをもとに影響度を考える必要があります。,O,,0,0,0,501,7,O,,0,0,0,473,2,O,,0,0,0,371,1,O,,0,0,0,365,1
25,finance,paragraph,0,政策コスト分析の導入によって、財政投融資のディスクロージャーと財投機関の財務の健全性にどのような影響があるのか具体的に説明してください。,政策コスト分析を導入することで、財政投融資を活用している事業について、将来見込まれる補助金や出資金の機会費用などの政策コストが明らかにされます。これにより、財政投融資対象事業の妥当性や財投機関の財務の健全性に関する情報が充実し、ディスクロージャーの観点から重要な透明性が向上します。具体的には、財政投融資が本当に必要かつ適切なものかをより明確に判断しやすくし、健全性の高い財務運営を促進します。この情報は外部の監視や評価の基準ともなり得るため、財投機関は厳格な評価基準の下で運営されることになり、不適切な財政投融資のリスクが低減される効果が期待されます。,O,,0,1,0,1401,7,O,,0,1,0,1136,0,O,,0,0,0,864,9,O,,0,0,0,851,7
26,finance,table,0,東日本大震災後の災害復興において、日本政策金融公庫と地方公共団体が実施した防災・減災対策の具体的な内容を詳述し、各機関がどのように役割分担をして資金供給を行ったのかを説明してください。,東日本大震災後、日本政策金融公庫と地方公共団体はそれぞれの役割に応じた防災・減災対策を実施しました。日本政策金融公庫は、被災した中小企業への資本性資金供給や指定金融機関を通じた危機対応融資を行い、事業の再建と安定化を支援しました。具体的な制度としては、東日本大震災復興特別貸付制度や資本性劣後ローンが利用されました。一方、地方公共団体は防災・減災のためのインフラ整備や地域社会の復興に直接資金を供給し、地方公共団体自身の復興計画を基に資金を活用しました。これにより、各機関がそれぞれの強みを活かしつつ、総合的な復興支援体制を構築しました。,O,,0,0,0,1187,7,O,,0,0,0,1187,2,O,,0,0,1,578,7,X,,0,0,1,515,3
27,finance,table,0,日本開発銀行が産業分野で行った融資の対象は何ですか？,基幹産業（石炭・鉄鋼・海運・電力など）に対する長期資金の供給です。,X,,0,0,0,160,0,O,,0,0,0,59,0,X,,0,0,0,47,0,O,,0,0,0,77,2
28,finance,image,2,令和4年度の産業投資支出のうち、日本政策金融公庫が中小企業者向け業務に投資する金額はどれくらいですか。,日本政策金融公庫の中小企業者向け支出は、令和4年の当初計画で中小企業者向け業務向けの169億円です。,X,50.0,0,0,1,90,1,X,50.0,0,0,1,98,1,X,50.0,0,0,1,131,3,X,50.0,0,0,1,240,3
29,finance,image,0,財投機関に関する実地監査について、監査プロセスにおける事前準備と監査結果の整理の間で行われる具体的な対応フローについて詳しく説明してください。,"監査プロセスの事前準備では、監査対象のデータや情報の収集、評価基準の設定、リスクの特定が行われます。これに基づいて監事ヒアリングが行われ、関係者の意見や実情の把握が行われます。この段階で収集された情報は、往査の際に効率的かつ効果的なチェックを行うための基盤となります。

監査結果の整理では、往査で得られたデータや観察結果を分析し、問題点や改善点を特定します。この整理された結果は、後の結果通知やトップ面談での報告、さらには改善策や対応策の実施状況のフォローアップに直接つながります。
",O,,0,1,0,1323,8,O,,0,0,0,1057,4,X,,0,0,1,622,2,O,,0,0,0,315,2
30,finance,paragraph,0,財政投融資特別会計において、金利変動リスクを減少させるための ALM 手法と、それが直面する課題について詳しく説明してください。,ALM（資産負債管理）手法は、財政投融資特別会計における金利変動リスクを減少させるために用いられています。この手法では、貸付の大半が元金均等または元利均等償還型のキャッシュフローである一方で、資金調達が満期一括償還型のキャッシュフローで行われることから、完全なマチュリティ・ギャップの解消が困難という課題に直面しています。つまり、資産と負債のキャッシュフローのタイミングの不一致が完全に解消されていないため、依然として一定の金利変動リスクを負っていることになります。,O,,0,0,0,1132,6,O,,0,0,0,1190,7,O,,0,0,0,1115,9,O,,0,0,0,1118,11
31,finance,image,1,財政投融資計画はいつ決定されますか？,12月に決定されます。,X,0.0,0,0,0,95,0,O,100.0,0,0,0,25,1,X,0.0,0,0,0,426,0,O,100.0,0,0,0,245,6
32,finance,table,6,世帯主が不意の事故により入院が必要になる場合の必要資金について、60～64歳及び65歳以上の夫婦が公的年金以外に必要とする月間生活資金と比較してください。,世帯主が入院したときに必要な資金は月24.2万円で、60～64歳夫婦の必要生活資金は20.2万円、65歳以上夫婦の必要生活資金は16.1万円で、60～64歳夫婦の方が多くの資金が求められます。,O,100.0,0,0,0,517,20,O,83.3,0,0,0,183,11,O,100.0,0,0,0,274,14,O,100.0,0,0,0,224,16
33,finance,image,2,世帯主が就労不能状態でありつつ配偶者が要介護状態となった場合、その家庭に求められる必要資金はどれくらいですか？,"世帯主が就労不能となった場合、月額27.2万円必要と考えられています。また、世帯主または配偶者が要介護状態となった場合、必要な資金は3,311万円となっており、したがって、世帯主が就労不能状態でありつつ配偶者が要介護状態となる場合、必要資金の合計は27.2万円 × 就労不能期間の月数 + 3,311万円となります。",O,100.0,0,0,0,289,5,X,50.0,0,0,0,202,8,X,100.0,0,0,1,302,6,X,100.0,0,0,0,206,6
34,finance,image,8,保険の世帯加入状況について、全生保と民保の加入率、個人年金保険の加入率、普通死亡保険金額、年間払込保険料において、どのような差がありますか？,"加入率は全生保が89.8%に対し民保は80.3%、そのうち個人年金保険の加入率は全生保が24.3%、民保が21.4%となっており、全生保の方がわずかに高い数値となっています。普通死亡保険金額は全生保が2,027万円に対し民保は1,927万円、年間払込保険料も全生保が37.1万円で、民保の35.9万円を上回っています。これらのデータから、全生保は民保よりも多くの契約者に対して手厚い保険金額や多様な商品を提供していることが示唆されます。",O,100.0,0,0,0,683,24,O,100.0,0,0,0,721,24,O,100.0,0,1,0,216,9,O,100.0,0,1,0,399,13
35,finance,paragraph,6,生命保険(個人年金保険を含む)に対する世帯の加入意向に注目した場合、生命保険会社の営業職員と通信販売のチャネルの差異が前回調査と比較してどのように変化しているか、具体的な数値を基に説明してください。,生命保険会社の営業職員を通じた加入意向は27.5%で、前回の調査結果26.9%から0.6%増加しました。一方、通信販売を通じた加入意向は21.9%となっており、前回調査の16.2%から5.7%増加しています。従って、営業職員のチャネルの加入意向は僅かながら増加している一方で、通信販売のチャネルの加入意向は大きく増加していることがわかります。,O,100.0,0,0,0,741,16,O,100.0,0,0,0,723,16,O,100.0,0,0,0,393,15,O,66.7,0,0,0,389,18
36,finance,paragraph,4,世帯主が万が一の事態により3ヶ月間入院した場合、必要な資金はいくら必要と考えられていますか？,世帯主が2～3ヶ月間入院する場合、健康保険診療の範囲外の費用として必要と考える資金額は月間24.2万円と考えられています。したがって、3ヶ月入院した場合は72.6万円（24.2万円×3ヶ月）が求められます。,O,75.0,0,0,0,82,4,O,75.0,0,0,0,66,4,X,75.0,0,0,0,58,3,O,100.0,0,0,0,138,7
37,finance,paragraph,5,世帯主の年齢が40〜44歳の場合、金融資産平均はどれくらいか。また、全年齢の平均と比較してどの程度の差異があるか。,"世帯主の年齢が40〜44歳の場合、金融資産の平均額は767万円となっており、全年齢平均の1,117万円に比べて350万円下回っています。",X,40.0,0,1,0,391,19,X,40.0,0,0,1,234,13,X,60.0,0,1,0,300,15,X,60.0,0,1,0,324,17
38,finance,image,1,2023年度における信託銀行の株式保有率は何パーセントですか？,22.1%です。,X,0.0,0,0,0,36,2,X,0.0,0,0,1,87,2,X,0.0,0,0,0,121,3,X,0.0,0,0,1,160,8
39,finance,table,1,令和5年の「外国法人」の株主の増減はどのようになっていますか？,"51,137人増加しました。",X,0.0,0,0,1,99,2,X,0.0,0,0,1,102,2,X,0.0,0,0,1,306,14,X,0.0,0,0,1,279,8
40,finance,table,6,2023年度の海外投資家の投資部門別売買状況における、大幅な買越しが見られた月とその影響について説明してください。,"2023年度の海外投資家の投資部門別売買状況では、7兆6,906億円の大幅買越しとなり、3年振りの買越しとなりました。特に、2023年4月から6月において大幅な買越しが目立ちました。この買越しにより外国法人等の株式保有金額が大幅に増加し、それが全体の株式保有比率に影響を与えました。この期間中の大幅買越しが結果として外国法人等の株式保有比率を過去最高に押し上げる要因の一つとなりました。",O,100.0,0,0,0,220,8,O,100.0,0,0,0,522,29,O,83.3,0,0,0,491,25,X,83.3,0,0,0,216,11
41,finance,image,3,2009年から2023年までに個人株主数はどれくらい増えたか。,"2009年から2023年までに個人株主数は29,658,788人増加した。",O,100.0,0,0,0,142,9,O,100.0,0,0,0,141,9,O,100.0,0,0,0,110,7,O,100.0,0,0,0,205,10
42,finance,table,1,2022年6月時点で、ウォレット総数が最も多いDeFiはどれか。DeFiの名称やウォレット総数について教えてください。,"Uniswapが最も多く、ウォレット数は3,438,910となっています。",O,100.0,0,0,0,102,3,O,100.0,0,0,0,211,7,O,100.0,0,0,0,231,8,O,100.0,0,0,0,228,8
43,finance,table,0,アメリカでは、DeFiサービスによる不正取引の危険性について、AML/CFTを含めどのように捉えているか。また、暗号資産にAML/CFTに関する監督の強化方法として、どのような提言を行なっているか具体的に説明してください。,"米国財務省では、DeFiサービスは、法令遵守をしないサービス、仲介者不在スキーム、法域間でのAML/CFT規制ギャップ、サイバー関連の脆弱性等があり、ランサムウェア、窃取、詐欺、麻薬密輸、拡散金融等の不正行為から利益を得ようとする犯罪者に利用される危険性を内在しているとみています。パブリックブロックチェーンの透明性、中央集権型VASPでの対応、業界におけるリスク低減策をもってしても、DeFiサービスに関連する不正金融リスクは残存するため、暗号資産活動に係る米国のAML/CFT監督の強化策として次のような提言を行なっています。
ー 米国政府は、既存の監督・執行機能を強化して、DeFiサービスに係る銀行秘密法（BSA）上の義務を含むAML/CFTその他の規制遵守を向上等させるべき。その一環として、規制当局は、従前発行した規制・ガイダンスに沿う形で、既存規制がDeFiサービスへどのように適用されるかを説明するための業界へのアウトリーチを実施すべき。
ー 業界の反応を踏まえて、当局は追加的な規制行為・追加ガイダンスの発行を検討すべき。",O,,0,0,0,1598,7,O,,0,0,0,1583,8,O,,0,0,0,1725,6,O,,0,0,0,1522,8
